가가, 68, 149
아바, 82, 195
아카, 63, 167
가아, 69, 163
바자, 41, 154
라타, 48, 154
자라, 58, 193
바바, 61, 195
마라, 67, 177
다자, 40, 190
나카, 55, 183
카차, 63, 199
타나, 62, 170
하다, 91, 190
차카, 82, 165
가타, 52, 192
차타, 51, 147
자자, 75, 189
마타, 83, 180
바카, 59, 181
아나, 54, 155
자타, 76, 163
사나, 91, 188
파아, 73, 152
라파, 44, 166
다카, 86, 179
아파, 57, 170
사하, 96, 185
라하, 88, 177
차나, 85, 140
아파, 57, 157
하차, 92, 177
카라, 91, 194
아차, 59, 164
아하, 60, 199
가다, 40, 147
바마, 58, 141
아하, 52, 182
다하, 42, 145
카자, 53, 187
나타, 53, 149
자바, 94, 187
바사, 70, 197
파다, 96, 186
사나, 63, 164
마다, 66, 159
마마, 64, 177
사파, 48, 168
바사, 48, 189
나바, 70, 170
라타, 55, 144
파자, 44, 184
차파, 83, 189
파타, 65, 160
라다, 52, 174
다가, 88, 186
바타, 99, 153
하가, 74, 172
사바, 72, 179
마라, 84, 195
마다, 40, 176
차아, 58, 188
카다, 52, 177
카카, 72, 177
마파, 84, 180
마바, 91, 152
파가, 65, 148
하차, 67, 170
마파, 90, 153
파타, 65, 182
파다, 90, 188
마다, 72, 198
마자, 80, 178
다사, 73, 183
카아, 91, 176
나나, 78, 159
가하, 59, 176
라타, 71, 198
카파, 92, 173
타사, 85, 162
차차, 55, 195
가자, 93, 196
차라, 76, 150
하자, 59, 140
라나, 76, 175
가바, 67, 191
카차, 66, 196
마사, 64, 152
마마, 87, 189
카라, 94, 146
라나, 48, 172
마자, 53, 157
카하, 74, 176
라아, 89, 145
바가, 79, 191
라사, 83, 169
자바, 95, 172
아파, 86, 187
차바, 74, 188
라라, 52, 177
마카, 43, 191
차차, 62, 150
라바, 50, 173
사하, 40, 156
타파, 78, 192
카다, 50, 197
다사, 84, 186
하바, 53, 176
가라, 94, 146
카가, 92, 178
타타, 55, 161
나파, 92, 191
다다, 81, 160
라타, 68, 157
사가, 89, 184
사파, 71, 184
마마, 61, 199
아자, 87, 189
라카, 94, 176
차다, 45, 142
하사, 87, 185
다하, 63, 180
바사, 76, 152
사마, 87, 194
자사, 95, 155
자다, 81, 181
파차, 50, 196
카바, 61, 184
다라, 94, 161
다가, 72, 177
가라, 66, 188
타카, 82, 196
하자, 74, 141
가바, 59, 197
사자, 51, 195
마마, 65, 158
바파, 41, 167
다차, 75, 156
아카, 80, 181
자아, 62, 193
다자, 80, 166
아자, 47, 195
하자, 40, 197
가가, 43, 173
다차, 68, 147
사아, 45, 181
라아, 60, 152
사라, 57, 166
나파, 66, 194
나파, 92, 172
카라, 63, 169
카사, 61, 181
타파, 48, 193
다가, 83, 153
하파, 74, 140
하바, 99, 170
마카, 71, 198
아하, 82, 173
파나, 62, 179
마가, 79, 156
카바, 63, 187
가타, 59, 192
아파, 69, 147
바라, 79, 197
나아, 94, 183
라마, 53, 146
마하, 55, 147
차사, 81, 179
가마, 44, 197
마카, 52, 175
자바, 53, 140
사사, 98, 168
아카, 56, 182
자타, 92, 163
가바, 75, 178
가타, 53, 161
가파, 79, 186
라라, 81, 197
자가, 41, 198
파아, 44, 179
아나, 43, 150
하마, 49, 174
카아, 74, 149
다가, 72, 185
파타, 67, 159
마가, 70, 153
라바, 71, 183
사타, 93, 192
라다, 50, 174
파타, 84, 168
파마, 63, 196
타가, 71, 176
타파, 43, 193
마사, 96, 192
차가, 56, 176
파자, 72, 166
차라, 68, 179
나타, 77, 153
카카, 53, 181
바파, 53, 190
차마, 58, 175
타파, 51, 194
다라, 90, 146
하하, 44, 185
바나, 64, 150
하나, 70, 153
하파, 43, 156
마마, 72, 158
타하, 64, 175
아아, 93, 153
라라, 88, 141
나차, 75, 170
마하, 89, 146
사타, 89, 165
다차, 76, 167
하자, 49, 179
타마, 83, 167
자가, 95, 167
자라, 74, 188
아다, 47, 197
가아, 70, 160
파바, 99, 150
카하, 66, 171
라다, 91, 171
하타, 99, 193
나자, 65, 165
나나, 80, 164
가다, 55, 199
타마, 43, 164
카나, 77, 158
마다, 79, 151
아다, 93, 177
파마, 95, 166
사가, 61, 153
차자, 48, 144
나라, 48, 163
차사, 60, 188
다마, 78, 170
아차, 41, 191
자가, 87, 198
카라, 62, 196
타라, 72, 174
카다, 82, 187
차하, 42, 157
차마, 65, 191
라사, 70, 147
라타, 72, 156
사다, 67, 168
카파, 88, 157
아타, 50, 140
라타, 64, 142
바라, 45, 194
자나, 87, 140
차자, 45, 167
아자, 49, 188
바파, 98, 189
자나, 73, 148
카바, 57, 158
자나, 90, 172
마파, 84, 182
라자, 87, 149
나차, 47, 145
라다, 80, 181
아가, 70, 152
카다, 74, 169
사바, 49, 158
마파, 49, 186
아파, 79, 175
가라, 94, 168
타차, 70, 173
차차, 60, 193
아다, 93, 174
하사, 49, 156
파카, 51, 198
카차, 74, 189
다타, 63, 195
사다, 99, 154
다라, 68, 177
나다, 47, 157
사파, 87, 170
파자, 87, 198
가파, 74, 146
카하, 81, 191
아차, 83, 160
자가, 78, 168
라아, 52, 163
카차, 90, 160
카라, 63, 192
차하, 53, 144
